meta data,,,,transpiration by species,,,,,water budget,,,,,,water quality data,,,,,,,,,,,,biological tide calculation,,,,,
,date,month,year,sam_et_m3H2O,typha_et_m3H2O,sacstab_et_m3H2O,scal_et_m3H2O,allspp_et_m3H2O,monthly_frw1_outflow_m3,monthly_frw1_inflow_m3,monthly_frw1_deficit_m3,monthly_precip_mm,monthly_precip_m3,monthly_evap_m3,marsh_shore_no2,marsh_shore_no2_se,marsh_shore_no3,marsh_shore_no3_se,marsh_shore_nh4,marsh_shore_nh4_se,marsh_water_no2,marsh_water_no2_se,marsh_water_no3,marsh_water_no3_se,marsh_water_nh4,marsh_water_nh4_se,,,,,,
1,7/1/11,7,2011,59363.2705,119898.5112,100853.5635,3851.827389,283967.1727,NA,NA,NA,8.2,1722,0,0.060966667,0.056018816,0.451666667,0.439167046,0.3021,0.138840712,0.221666667,0.057324612,1.463333333,0.20019435,0.519333333,0.271932181,,,,,,
2,8/1/11,8,2011,40995.34601,67321.84195,75759.12432,7193.669867,191269.9821,NA,NA,NA,0,0,0,,,,,,,,,,,,,,,,,,
3,9/1/11,9,2011,22785.29284,31156.33085,48061.94822,8408.881515,110412.4534,NA,NA,NA,1,210,0,0.0033,0.000459239,0.015733333,0.003753369,0.042766667,0.019460159,0.241666667,0.018888562,4.326666667,0.221535049,0.585666667,0.171262307,,,,,,
4,10/1/11,10,2011,14278.57537,23909.57004,34198.06659,8556.250334,80942.46233,NA,NA,NA,8.4,1764,0,,,,,,,,,,,,,,,,,,
5,11/1/11,11,2011,5328.09738,11101.30731,13472.82247,5248.454561,35150.68171,NA,NA,NA,19.3,4053,0,0.00577,0.001772117,0.013173333,0.003846216,0.2407,0.216240753,0.237,0.018330303,NA,NA,NA,NA,,,,,,
6,12/1/11,12,2011,1013.070266,3376.10336,2352.181354,2497.208122,9003.081933,NA,NA,NA,28.8,6048,0,,,,,,,,,,,,,,,,,,
7,1/1/12,1,2012,1981.915046,3660.963621,4850.660383,2660.175299,13153.71435,2903674.011,0,-2903674.011,0.5,105,0,0.009713333,0.004594784,0.048036667,0.022196239,0.205666667,0.142358612,0.255,0.004358899,4.406666667,0.637608379,0.888666667,0.15164139,,,,,,
8,2/1/12,2,2012,1512.627368,3365.740776,5221.85441,2629.268009,12729.49056,2315438.344,0,-2315438.344,0.5,105,0,,,,,,,,,,,,,,,,,,
9,3/1/12,3,2012,3168.440776,10483.72732,10001.24943,4552.333412,28205.75094,3484662.44,0,-3484662.44,13.2,2772,0,0.006846667,0.001686261,0.040696667,0.019695364,0.0548,0.020812736,0.252666667,0.013691035,2.206666667,0.060644685,1.353333333,0.147459976,,,,,,
10,4/1/12,4,2012,8928.360002,29596.24407,21099.62984,8588.72978,68212.96369,3035285.172,0,-3035285.172,0.5,105,0,,,,,,,,,,,,,,,,,,
